Date,Open,High,Low,Close,Volume,Change Pct
2006-08-08,38000.0,38300.0,37600.0,37700.0,16266,-0.15
2006-08-09,38050.0,38190.0,37200.0,37316.0,16600,-1.02
2006-08-10,36850.0,37540.0,36850.0,37452.0,11821,0.36
2006-08-11,37500.0,37500.0,36900.0,37049.0,10815,-1.08
2006-08-14,37330.0,37380.0,36445.0,36541.0,11487,-1.37
2006-08-15,36600.0,37480.0,36540.0,37313.0,12592,2.11
2006-08-17,38450.0,38880.0,38160.0,38265.0,13031,2.55
2006-08-18,38300.0,38400.0,37890.0,38291.0,11416,0.07
2006-08-21,38000.0,38110.0,37800.0,37969.0,13666,-0.84
2006-08-22,37900.0,37900.0,37155.0,37372.0,15425,-1.57
2006-08-23,37190.0,37270.0,36160.0,36226.0,18042,-3.07
2006-08-24,36350.0,36530.0,35700.0,36305.0,17753,0.22
2006-08-25,36450.0,36740.0,36120.0,36596.0,13693,0.8
2006-08-28,36500.0,37030.0,36205.0,36909.0,14604,0.86
2006-08-29,37200.0,37220.0,36540.0,36894.0,17291,-0.04
2006-08-30,36900.0,37180.0,36665.0,36910.0,12106,0.04
2006-08-31,37100.0,37280.0,36480.0,36990.0,16412,0.22
2006-09-01,36900.0,37870.0,36870.0,37818.0,14324,2.24
2006-09-04,37930.0,38330.0,37910.0,38291.0,10511,1.25
2006-09-05,38200.0,38200.0,37730.0,37998.0,17615,-0.77
2006-09-06,37700.0,37770.0,37215.0,37303.0,16874,-1.83
2006-09-08,37100.0,37230.0,36880.0,36973.0,14839,-0.88
2006-09-11,36520.0,36620.0,36070.0,36182.0,18993,-2.14
2006-09-12,36200.0,36650.0,35990.0,36433.0,21575,0.69
2006-09-13,36600.0,37170.0,36360.0,36955.0,23770,1.43
2006-09-14,36900.0,37090.0,36430.0,36527.0,18151,-1.16
2006-09-15,36505.0,36860.0,36190.0,36499.0,17028,-0.08
2006-09-18,36640.0,37020.0,36450.0,36805.0,18166,0.84
2006-09-19,36500.0,36800.0,35830.0,36096.0,20994,-1.93
2006-09-20,36370.0,36400.0,35160.0,35355.0,18107,-2.05
2006-09-21,35600.0,35630.0,34750.0,35005.0,19211,-0.99
2006-09-22,34750.0,35195.0,34570.0,35086.0,15777,0.23
2006-09-25,35050.0,35350.0,34310.0,35231.0,20260,0.41
2006-09-26,35330.0,35995.0,35320.0,35935.0,13763,2.0
2006-09-27,36090.0,36320.0,35705.0,36232.0,18476,0.83
2006-09-28,36260.0,36720.0,36040.0,36654.0,15901,1.16
2006-09-29,36570.0,36735.0,36380.0,36588.0,12545,-0.18
2006-10-02,36700.0,37500.0,36700.0,37201.0,19519,1.68
2006-10-03,37200.0,37200.0,36530.0,36678.0,23717,-1.41
2006-10-04,36750.0,37965.0,36650.0,37866.0,26734,3.24
2006-10-05,37930.0,38370.0,37730.0,38170.0,25849,0.8
2006-10-06,37880.0,38120.0,37550.0,38010.0,21376,-0.42
2006-10-09,37900.0,38750.0,37810.0,38466.0,6442,1.2
